In my Feelings,Scorpion,Drake,Rap,musicfiles\\In My Feelings.mp3
Work,Anti,Rihanna,Hip-Hop,musicfiles\\Work  - Rihanna.mp3
Delicate,Reputation,Taylor Swift,Pop,musicfiles\\Taylor Swift - Delicate.mp3
Blank Space,1989,Taylor Swift,Pop,musicfiles\\Taylor Swift - Blank Space.mp3
Gods Plan,Scorpion,Drake,Rap,musicfiles\\God's Plan.mp3
I miss the old you,Digital Druglord,Blackbear,RnB,musicfiles\\blackbear - i miss the old u.mp3
Pain,Fearless,Josh A,Hip-Hop,musicfiles\\Pain.mp3
Smells Like Teen Spirit,Nevermind,Nirvana,Rock,musicfiles\\Nirvana - Smells Like Teen Spirit.mp3
On My Way,Growing Pains,Reo Cragun,Rap,musicfiles\\Reo Cragun - On My Way.mp3
The Scotts,The Scotts,Travis Scott,Hip-Hop,musicfiles\\THE SCOTTS.mp3
Teardrops,Teardrops,JXVE,Trap,musicfiles\\TEARDROPS - Madreckless x JXVE.mp3
Sugar,Ginger,Brockhampton,Hip-Hop,musicfiles\\SUGAR - BROCKHAMPTON.mp3
Dont You Worry Child,Until Now,Swedish House Mafia,Trap,musicfiles\\Swedish House Mafia - Don't You Worry Child.mp3
Livin On A Prayer,Slippery When Wet,Bon Jovi,Rock,musicfiles\\Bon Jovi - Livin' On A Prayer.mp3
Bad Kamra,Arena Live,Axel Thesleff,Trap,musicfiles\\Axel Thesleff - Bad Karma.mp3
Wildest Dreams,1989,Taylor Swift,Pop,musicfiles\\Taylor Swift - Wildest Dreams.mp3
Run,Nectar,Joji,Alternative,musicfiles\\Joji - Run.mp3
